                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.6857,                0.32126,                0.82047,                0.95747,                0.97249,                0.98764,                0.75054,                0.86401,                0.35999,                0.84703,             0.00063676,             0.00063676,             0.00063676
                     58,                0.67486,                0.31831,                0.82038,                0.96898,                0.95989,                0.98982,                0.74537,                0.87152,                 0.3662,                0.84653,             0.00062262,             0.00062262,             0.00062262
                     59,                0.68186,                0.32022,                0.82607,                0.96238,                0.97013,                0.99028,                0.75578,                0.86488,                0.36624,                0.84589,             0.00060847,             0.00060847,             0.00060847
                     60,                0.66915,                0.31459,                0.83213,                0.96655,                0.96354,                0.98996,                0.75242,                0.85967,                0.36403,                 0.8442,             0.00059432,             0.00059432,             0.00059432
                     61,                0.67955,                0.31559,                0.83474,                0.96843,                0.96638,                   0.99,                0.75506,                0.85416,                0.36452,                0.84131,             0.00058017,             0.00058017,             0.00058017
                     62,                0.67759,                0.31731,                0.82642,                0.96885,                0.96608,                0.99024,                0.75703,                 0.8437,                0.35454,                0.84066,             0.00056603,             0.00056603,             0.00056603
                     63,                0.67298,                0.31871,                0.82836,                0.96079,                0.97391,                 0.9902,                0.75451,                0.84505,                 0.3607,                0.84066,             0.00055188,             0.00055188,             0.00055188
                     64,                0.66234,                0.31325,                0.82816,                0.97542,                0.96408,                0.98908,                0.75349,                0.85332,                0.36373,                0.84315,             0.00053773,             0.00053773,             0.00053773
                     65,                0.65732,                 0.3111,                0.82524,                0.96299,                0.97232,                0.98858,                0.75076,                 0.8421,                0.35361,                 0.8415,             0.00052359,             0.00052359,             0.00052359
                     66,                0.66303,                0.30857,                0.82422,                0.96866,                0.96879,                0.99076,                0.75558,                0.84827,                0.35907,                0.84301,             0.00050944,             0.00050944,             0.00050944
                     67,                0.66476,                0.31499,                0.82331,                0.97951,                0.96971,                0.99173,                0.75935,                0.83704,                0.35264,                0.84163,             0.00049529,             0.00049529,             0.00049529
                     68,                0.65051,                0.30484,                0.82236,                0.96297,                0.96949,                0.98948,                0.75476,                0.83346,                0.35388,                0.83852,             0.00048114,             0.00048114,             0.00048114
                     69,                0.65047,                0.30246,                0.82506,                0.96858,                0.96745,                0.99025,                0.75585,                0.83525,                0.35293,                0.83973,               0.000467,               0.000467,               0.000467
                     70,                0.63255,                0.29964,                0.82246,                0.96758,                 0.9724,                0.99098,                0.76203,                0.83728,                 0.3499,                0.83845,             0.00045285,             0.00045285,             0.00045285
                     71,                0.65166,                0.30301,                0.82315,                0.95949,                0.97604,                0.99104,                  0.762,                0.83371,                0.35076,                0.83938,              0.0004387,              0.0004387,              0.0004387
                     72,                0.63561,                0.29541,                0.82357,                0.96214,                0.97487,                0.99042,                0.75958,                0.82812,                0.34897,                0.83853,             0.00042456,             0.00042456,             0.00042456
                     73,                0.63238,                0.29244,                0.82004,                0.96195,                 0.9752,                0.98888,                0.75623,                0.83138,                0.35293,                0.83927,             0.00041041,             0.00041041,             0.00041041
                     74,                0.63475,                0.29364,                 0.8228,                0.97476,                0.95971,                0.99054,                0.75858,                 0.8224,                0.34263,                0.83838,             0.00039626,             0.00039626,             0.00039626
                     75,                0.61174,                0.28547,                0.81127,                0.96529,                0.96981,                0.99109,                 0.7708,                0.81091,                 0.3407,                0.83579,             0.00038211,             0.00038211,             0.00038211
                     76,                0.62329,                0.29118,                0.81697,                 0.9692,                0.97944,                 0.9915,                0.76573,                0.81418,                0.33824,                0.83812,             0.00036797,             0.00036797,             0.00036797
                     77,                0.61603,                0.28764,                0.81554,                0.96505,                0.97595,                 0.9909,                0.76444,                0.81247,                0.33637,                0.83744,             0.00035382,             0.00035382,             0.00035382
                     78,                0.60687,                0.28349,                0.81583,                0.96565,                0.98118,                0.99001,                0.76197,                0.80652,                0.33183,                0.83651,             0.00033967,             0.00033967,             0.00033967
                     79,                0.60506,                  0.284,                0.81511,                0.96266,                0.97695,                0.99094,                0.76526,                 0.8036,                0.33799,                0.83646,             0.00032553,             0.00032553,             0.00032553
                     80,                0.59815,                0.27964,                 0.8166,                0.97295,                0.96753,                0.99086,                0.76301,                0.79453,                0.33437,                0.83714,             0.00031138,             0.00031138,             0.00031138
