                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.70167,                0.33946,                0.82382,                0.96753,                0.97314,                0.99148,                 0.7637,                0.85888,                0.37338,                0.83558,             0.00056603,             0.00056603,             0.00056603
                     63,                0.70054,                0.33912,                0.82705,                0.95377,                0.96716,                0.98868,                0.75228,                 0.8576,                0.38672,                0.83618,             0.00055188,             0.00055188,             0.00055188
                     64,                  0.691,                0.33791,                0.82827,                0.95921,                0.97412,                0.99083,                0.75623,                0.85212,                0.37412,                0.83411,             0.00053773,             0.00053773,             0.00053773
                     65,                0.68188,                0.33399,                0.82358,                0.96708,                0.96077,                0.99008,                0.74855,                0.86669,                0.37681,                0.83753,             0.00052359,             0.00052359,             0.00052359
                     66,                0.69475,                0.33357,                0.82412,                0.96785,                0.97599,                0.99101,                0.75836,                0.85751,                0.37422,                0.83464,             0.00050944,             0.00050944,             0.00050944
                     67,                0.68752,                0.33398,                0.82217,                0.97419,                0.96802,                0.99234,                0.75439,                0.85382,                0.36767,                0.83484,             0.00049529,             0.00049529,             0.00049529
                     68,                0.67216,                0.32185,                0.82074,                0.96931,                0.97947,                0.99194,                0.76366,                0.84681,                0.36618,                0.83313,             0.00048114,             0.00048114,             0.00048114
                     69,                0.67347,                0.32472,                0.82448,                0.97284,                0.97161,                0.99125,                0.76204,                0.85724,                 0.3715,                0.83493,               0.000467,               0.000467,               0.000467
                     70,                 0.6615,                0.32214,                0.82238,                0.96338,                 0.9825,                0.99101,                0.76295,                0.85106,                0.36653,                0.83305,             0.00045285,             0.00045285,             0.00045285
                     71,                0.67615,                0.32428,                 0.8231,                0.95712,                0.98514,                0.99037,                0.75739,                0.84876,                 0.3692,                0.83457,              0.0004387,              0.0004387,              0.0004387
                     72,                0.66696,                0.31999,                0.82286,                0.96084,                0.97688,                0.99051,                0.76199,                0.84419,                0.36277,                0.83154,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.6676,                0.31939,                0.82057,                0.96728,                0.97196,                0.98961,                0.76218,                0.84972,                0.36427,                0.83315,             0.00041041,             0.00041041,             0.00041041
                     74,                0.66463,                0.31552,                0.82216,                0.96526,                0.98117,                 0.9889,                0.76619,                0.83141,                0.35779,                0.83003,             0.00039626,             0.00039626,             0.00039626
                     75,                0.64687,                0.30647,                0.81235,                0.96962,                0.97229,                0.99171,                0.77395,                0.82646,                0.35533,                0.82928,             0.00038211,             0.00038211,             0.00038211
                     76,                0.65545,                0.31417,                0.81793,                0.97099,                0.97363,                0.99099,                0.77002,                0.82782,                0.36172,                0.83128,             0.00036797,             0.00036797,             0.00036797
                     77,                0.64979,                0.31387,                0.81689,                0.96671,                0.97921,                0.99075,                0.76964,                0.83569,                0.35786,                0.83238,             0.00035382,             0.00035382,             0.00035382
                     78,                0.64044,                0.30791,                0.81651,                0.96418,                0.98438,                0.99059,                0.77312,                0.82231,                0.35233,                0.82969,             0.00033967,             0.00033967,             0.00033967
                     79,                0.63822,                0.30901,                 0.8153,                0.96326,                0.98426,                0.99116,                0.77505,                0.81349,                0.35661,                0.82982,             0.00032553,             0.00032553,             0.00032553
                     80,                0.63623,                0.30528,                0.81831,                 0.9682,                0.98077,                0.99168,                0.77269,                0.81658,                0.35364,                0.82964,             0.00031138,             0.00031138,             0.00031138
                     81,                 0.6302,                0.30281,                0.81694,                0.96517,                0.98103,                0.99058,                 0.7698,                0.81465,                0.35661,                0.82893,             0.00029723,             0.00029723,             0.00029723
                     82,                0.63276,                0.30262,                0.81935,                0.97611,                0.97466,                0.99222,                  0.775,                0.80905,                0.35058,                0.82718,             0.00028308,             0.00028308,             0.00028308
                     83,                0.62126,                0.29936,                0.81346,                0.97311,                0.98096,                0.99091,                0.77342,                0.80695,                0.34536,                0.82692,             0.00026894,             0.00026894,             0.00026894
                     84,                0.61927,                0.29795,                0.81462,                0.97077,                0.98434,                 0.9915,                0.78007,                0.79353,                0.34236,                0.82612,             0.00025479,             0.00025479,             0.00025479
                     85,                0.61931,                0.29607,                0.81163,                0.98315,                0.97494,                0.99201,                0.77988,                0.80138,                0.34373,                0.82617,             0.00024064,             0.00024064,             0.00024064
                     86,                0.62095,                0.29434,                0.81405,                0.96749,                0.98562,                0.99178,                0.78115,                0.79313,                0.34252,                 0.8251,              0.0002265,              0.0002265,              0.0002265
                     87,                 0.6051,                 0.2915,                0.81191,                0.96943,                 0.9883,                0.99148,                0.78341,                0.78184,                0.33882,                0.82359,             0.00021235,             0.00021235,             0.00021235
                     88,                0.61118,                0.28997,                0.81062,                0.97896,                 0.9785,                0.99101,                0.78112,                0.78258,                0.33875,                0.82434,              0.0001982,              0.0001982,              0.0001982
                     89,                0.60036,                0.28509,                0.81165,                0.97667,                0.98182,                0.99128,                0.78083,                0.77992,                0.33534,                 0.8234,             0.00018406,             0.00018406,             0.00018406
                     90,                0.59872,                0.28596,                0.80529,                0.97806,                0.97789,                0.99115,                0.78206,                0.77472,                0.33636,                0.82201,             0.00016991,             0.00016991,             0.00016991
                     91,                0.59988,                0.28121,                0.81264,                 0.9735,                0.98544,                0.99068,                0.77558,                0.79718,                 0.3454,                0.82628,             0.00015576,             0.00015576,             0.00015576
                     92,                0.60461,                0.28524,                0.81456,                0.96887,                0.98344,                0.99116,                0.77993,                0.77809,                0.34048,                0.82262,             0.00014161,             0.00014161,             0.00014161
                     93,                0.58785,                0.27468,                0.81365,                0.97358,                0.98538,                0.99216,                0.78286,                0.79062,                0.33896,                0.82482,             0.00012747,             0.00012747,             0.00012747
                     94,                0.58847,                0.27354,                0.80977,                 0.9709,                0.98276,                0.99165,                0.78225,                0.77589,                0.33587,                0.82295,             0.00011332,             0.00011332,             0.00011332
                     95,                0.57714,                0.26924,                0.80987,                0.97141,                0.98628,                0.99192,                0.78747,                0.77594,                0.33477,                0.82305,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.57499,                0.26811,                0.80772,                0.97099,                0.98353,                0.99158,                0.78881,                0.77005,                0.33146,                0.82257,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.57556,                0.26778,                0.80864,                0.97373,                0.98426,                0.99182,                 0.7863,                0.77419,                0.33208,                0.82319,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.56994,                0.26544,                 0.8101,                0.97471,                0.98305,                0.99108,                0.78643,                0.76768,                0.33393,                 0.8227,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.56141,                0.26473,                0.80709,                0.97303,                0.98485,                0.99189,                 0.7872,                0.77007,                0.33204,                0.82285,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.56398,                0.26248,                0.80672,                0.97284,                0.98648,                0.99204,                0.78803,                0.76959,                0.33187,                0.82231,             2.8437e-05,             2.8437e-05,             2.8437e-05
