                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.76754,                0.38391,                0.84186,                 0.9508,                 0.9563,                0.98642,                0.72442,                0.93661,                0.41942,                0.85291,             0.00079238,             0.00079238,             0.00079238
                     47,                0.77066,                0.39105,                0.84022,                0.95912,                0.96033,                0.98732,                 0.7155,                0.93084,                0.42541,                0.85204,             0.00077823,             0.00077823,             0.00077823
                     48,                0.78014,                0.39086,                0.84022,                0.96661,                0.95646,                0.98868,                0.72244,                0.91574,                 0.4163,                0.85162,             0.00076409,             0.00076409,             0.00076409
                     49,                0.76435,                0.37911,                0.83433,                0.95068,                0.96872,                0.98911,                0.72397,                0.92927,                0.40917,                0.85442,             0.00074994,             0.00074994,             0.00074994
                     50,                0.77122,                0.37986,                0.84086,                0.96311,                0.96419,                0.98776,                0.72884,                0.91315,                0.41244,                0.84836,             0.00073579,             0.00073579,             0.00073579
                     51,                0.76536,                0.38507,                0.84395,                0.96212,                0.95505,                0.98788,                0.73076,                0.92522,                0.42385,                0.84975,             0.00072164,             0.00072164,             0.00072164
                     52,                0.75627,                 0.4059,                0.83595,                0.96475,                0.97363,                0.98929,                0.73204,                0.90221,                 0.4037,                0.84488,              0.0007075,              0.0007075,              0.0007075
                     53,                0.76014,                0.37633,                 0.8345,                0.96287,                0.95567,                0.98528,                 0.7263,                0.91604,                0.40806,                0.84694,             0.00069335,             0.00069335,             0.00069335
                     54,                0.74816,                0.37252,                0.83318,                0.95977,                 0.9617,                0.98837,                0.72584,                 0.9287,                0.40621,                0.85052,              0.0006792,              0.0006792,              0.0006792
                     55,                0.75097,                0.37322,                0.83948,                0.96194,                0.96514,                0.98805,                0.73222,                0.89444,                0.40302,                0.84367,             0.00066506,             0.00066506,             0.00066506
                     56,                0.74467,                0.36935,                0.83731,                0.95774,                0.96133,                0.99024,                0.73207,                0.91485,                0.40144,                0.84686,             0.00065091,             0.00065091,             0.00065091
                     57,                0.74166,                0.36637,                0.82388,                0.97301,                0.96175,                0.98923,                0.72918,                0.91959,                0.40597,                0.84659,             0.00063676,             0.00063676,             0.00063676
                     58,                0.73684,                0.36937,                0.82492,                0.96473,                0.94923,                0.98678,                 0.7341,                0.91103,                0.41294,                0.84408,             0.00062262,             0.00062262,             0.00062262
                     59,                0.73422,                0.36145,                0.82851,                0.95746,                 0.9661,                0.98849,                 0.7345,                0.90581,                0.40326,                 0.8436,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.7242,                0.35807,                0.83386,                0.95694,                0.96761,                0.98874,                0.73852,                0.90068,                0.40482,                0.84467,             0.00059432,             0.00059432,             0.00059432
                     61,                0.73219,                0.35799,                0.83694,                0.96544,                0.95892,                0.98903,                0.73441,                0.90207,                0.40111,                0.84374,             0.00058017,             0.00058017,             0.00058017
                     62,                0.73381,                0.36175,                0.82926,                0.96858,                0.96022,                0.98932,                0.74951,                0.87317,                0.38751,                0.83909,             0.00056603,             0.00056603,             0.00056603
